|”Id","Write Quorum","Write %","received_gets","received_puts","get_avg_latency","put_avg_latency","replied_gets","replied_puts","size","Read Throughput","Write Throughput","Total Throughput","best_write_quorum"
1,1,100,0,8519,0,0.07591245,0,8528,1,0,380.7,380.7,1
2,2,100,0,5672,0,0.08748361,0,5675,2,0,241.3,241.3,1
3,3,100,0,3393,0,0.1174726,0,3390,3,0,158.6,158.6,1
4,4,100,0,3027,0,0.1189108,0,3021,4,0,138.8,138.8,1
5,5,100,0,2556,0,0.1385241,0,2560,5,0,111.1,111.1,1
6,1,90,861,7719,0.02357513,0.07497945,857,7729,6,38.8,347.6,386.3,1
7,2,90,506,4442,0.03170156,0.08183377,508,4443,7,22.8,198.1,220.7,1
8,3,90,406,3759,0.03041541,0.1037721,406,3759,8,19.4,171,189.4,1
9,4,90,306,2760,0.02662807,0.09992526,308,2757,9,14.7,126.1,140.2,1
10,5,90,199,1775,0.02276022,0.1370466,199,1778,10,10.2,88.7,98.60001,1
11,1,80,1743,7051,0.0277762,0.0777631,1737,7059,11,78.3,317.4,395.6,1
12,2,80,1304,5029,0.03200747,0.090882,1303,5025,12,57.5,220.7,277.6,1
13,3,80,869,3475,0.03562639,0.1030954,871,3478,13,38.7,154.6,193.4,1
14,4,80,758,3017,0.03251595,0.12164,758,3013,14,36.7,144.7,180.9,1
15,5,80,638,2599,0.02391477,0.1578437,638,2597,15,31.3,114.6,143,1
16,1,70,3300,7516,0.03026856,0.08227113,3301,7523,16,144.7,329.9,474.5,1
17,2,70,1680,3903,0.03405407,0.0942324,1677,3908,17,75.6,176.4,251.9,1
18,3,70,1542,3508,0.03810756,0.1005848,1538,3507,18,70.7,156.9,225.2,1
19,4,70,1587,3747,0.03293889,0.1076066,1587,3746,19,70.3,164.1,233.7,1
20,5,70,887,2063,0.02694452,0.1129431,888,2062,20,44.4,101.2,145.1,1
21,1,60,4362,6501,0.03292717,0.08347458,4369,6504,21,192.5,287.2,479.7,1
22,2,60,2715,4114,0.0360354,0.09031382,2718,4117,22,126.5,190.7,317.1,1
23,3,60,1966,2964,0.03714459,0.09814632,1966,2962,23,83.9,120.9,201.1,1
24,4,60,1663,2533,0.03712865,0.1364792,1665,2529,24,81.2,123.1,204.1,1
25,5,60,1305,2002,0.03287904,0.1450249,1307,1999,25,68.10001,97.7,161.5,1
26,1,50,5926,5930,0.03734943,0.08210602,5927,5934,26,261.8,261.6,523.2,1
27,2,50,3480,3469,0.03927159,0.08155739,3475,3474,27,166,165.9,331.9,1
28,3,50,3265,3272,0.03769767,0.08708614,3268,3275,28,147.6,147.8,295.3,1
29,4,50,2849,2869,0.03675831,0.09760876,2849,2867,29,129.2,129.2,257.8,1
30,5,50,2671,2642,0.03097561,0.1069772,2670,2643,30,124.7,123.1,247.5,1
31,1,40,7253,4825,0.04104781,0.08085033,7255,4826,31,321.9,215.1,537,1
32,2,40,5638,3754,0.04082067,0.07399974,5644,3751,32,238.7,158.7,397.3,1
33,3,40,4555,3050,0.03961625,0.08334444,4550,3053,33,196.6,131.5,328.1,1
34,4,40,3768,2486,0.0383425,0.08651628,3765,2486,34,159.4,93.6,235.5,1
35,5,40,4299,2862,0.03116954,0.08569457,4301,2863,35,202.3,134.2,336.3,1
36,1,30,8034,3429,0.04448718,0.08312437,8038,3430,36,345,146.8,491.8,1
37,2,30,6939,2994,0.04394634,0.07814527,6943,2998,37,294.9,127.1,421.9,1
38,3,30,5863,2466,0.04062496,0.07900392,5859,2464,38,258.8,109.2,367.9,1
39,4,30,4445,1904,0.03716626,0.079345,4443,1905,39,207.6,88.6,296.2,1
40,5,30,4868,2110,0.03084452,0.08664022,4868,2110,40,220.7,95.10001,315.7,1
41,1,20,9372,2329,0.0505207,0.08281504,9375,2330,41,400.3,99.6,499.9,4
42,2,20,9811,2453,0.04595914,0.07446796,9816,2454,42,417.3,104.2,521.6,4
43,3,20,9310,2327,0.04099218,0.07933149,9314,2330,43,394.5,98.8,493.3,4
44,4,20,9427,2364,0.03613126,0.074044,9429,2362,44,414.1,103.6,517.7,4
45,5,20,7480,1890,0.03124606,0.07479063,7488,1885,45,339.5,85.6,423.6,4
46,1,10,10271,1137,0.05079318,0.08289196,10274,1138,46,439,48.7,487.6,4
47,2,10,11217,1249,0.04697476,0.07683869,11217,1248,47,470.3,52.5,522.7,4
48,3,10,11972,1323,0.03971602,0.06807794,11980,1325,48,505.2,55.9,561,4
49,4,10,13208,1462,0.03646582,0.06943007,13206,1462,49,580.9,64.6,645.1,4
50,5,10,9952,1130,0.02937858,0.06799977,9957,1130,50,472.9,53.1,526,4
51,1,0,12592,0,0.05791385,0,12598,0,51,531.1,0,531.1,5
52,2,0,15052,0,0.04647233,0,15056,0,52,638.1,0,638.1,5
53,3,0,16993,0,0.04017187,0,16999,0,53,743.8,0,743.8,5
54,4,0,20357,0,0.03350997,0,20362,0,54,891.7,0,891.7,5
55,5,0,27010,0,0.02590567,0,27014,0,55,1164.2,0,1164.2,5
56,1,100,0,6815,0,0.04987187,0,6817,56,0,308.9,308.9,1
57,2,100,0,5262,0,0.05272015,0,5261,57,0,230.5,230.5,1
58,3,100,0,3807,0,0.05900653,0,3806,58,0,164.7,164.7,1
59,4,100,0,3482,0,0.0664691,0,3483,59,0,146.9,146.9,1
60,5,100,0,2645,0,0.07671978,0,2648,60,0,120.4,120.4,1
61,1,90,910,7960,0.01645125,0.05009302,911,7962,61,39.9,349.4,389.3,1
62,2,90,744,6697,0.01712861,0.0526082,743,6699,62,31.4,282,313,1
63,3,90,402,3626,0.01770039,0.06049082,401,3630,63,17.9,160.5,178.2,1
64,4,90,473,4259,0.01734792,0.06645979,473,4260,64,22.2,174.9,194.3,1
65,5,90,334,2981,0.01511594,0.07806849,333,2984,65,15.4,136.5,151.5,1
66,1,80,1888,7577,0.01760374,0.05260013,1889,7581,66,82.4,331.1,413.5,1
67,2,80,1720,6893,0.01852762,0.04836525,1720,6896,67,76.1,305,381.2,1
68,3,80,1458,5789,0.01868005,0.05625499,1458,5791,68,62.5,242.2,302.9,1
69,4,80,898,3585,0.01805536,0.06055246,898,3588,69,40.8,162.2,203,1
70,5,80,806,3241,0.01546746,0.07136329,806,3242,70,36.6,141,175.9,1
71,1,70,3078,7088,0.01846831,0.05262275,3080,7090,71,134.4,309.7,444.2,1
72,2,70,1983,4598,0.01930549,0.05334006,1982,4601,72,87.2,202.2,289.3,1
73,3,70,2424,5695,0.01895655,0.05410198,2425,5695,73,110.8,259.5,370.4,1
74,4,70,1930,4473,0.0183915,0.06294124,1930,4476,74,84.60001,195.3,279.5,1
75,5,70,837,1976,0.01614084,0.07068625,837,1979,75,42.8,96.1,137.4,1
76,1,60,4186,6218,0.01984065,0.05471308,4187,6220,76,185.1,274.8,460,1
77,2,60,3350,5019,0.01973449,0.05328495,3349,5021,77,146.1,218.8,364.8,1
78,3,60,2776,4085,0.02002849,0.05819268,2777,4088,78,119.7,176,295.6,1
79,4,60,2151,3207,0.01810056,0.06230459,2150,3204,79,96.7,143.9,240.4,1
80,5,60,1744,2650,0.01615393,0.0676216,1744,2650,80,80.7,120.2,199.8,1
81,1,50,5683,5650,0.02110705,0.05713897,5684,5654,81,243.7,242.6,486.3,1
82,2,50,4767,4795,0.02107557,0.05245149,4766,4799,82,217.5,218.4,435.8,1
83,3,50,3842,3854,0.02032943,0.05583836,3845,3856,83,169.9,170.1,339.8,1
84,4,50,3479,3455,0.01926089,0.06126183,3477,3454,84,147.5,144.6,290.2,1
85,5,50,3982,3936,0.01605801,0.06527289,3981,3939,85,168.1,162.8,327.7,1
86,1,40,6659,4431,0.02291309,0.05900185,6660,4433,86,289.6,193.4,482.9,1
87,2,40,5026,3372,0.02201117,0.0546116,5025,3372,87,212.8,143,355.7,1
88,3,40,6014,3933,0.02123462,0.05570127,6015,3935,88,208.8,138.1,346.9,1
89,4,40,5426,3586,0.01871064,0.05518604,5425,3588,89,234.3,154.9,389.1,1
90,5,40,5553,3724,0.01613369,0.05842328,5553,3726,90,234.7,157.6,392.2,1
91,1,30,7244,3075,0.02481561,0.05977686,7241,3076,91,306.7,130.6,430.1,2
92,2,30,7690,3277,0.0231349,0.05334687,7691,3278,92,328.4,140.1,468.5,2
93,3,30,6238,2693,0.0214829,0.05392592,6237,2692,93,261.7,112.6,373.4,2
94,4,30,6969,3000,0.01869761,0.05451202,6970,3001,94,298.5,128.5,427,2
95,5,30,4498,1952,0.01611049,0.05963163,4498,1952,95,202.6,82.5,272.9,2
96,1,20,9420,2357,0.02686437,0.06326329,9422,2358,96,415.4,103.9,519.1,2
97,2,20,10072,2471,0.02477477,0.05460302,10074,2472,97,430.5,105.6,536.1,2
98,3,20,9664,2405,0.0219085,0.05293273,9666,2407,98,416.4,104,520.3,2
99,4,20,7931,2013,0.01911825,0.05325797,7934,2013,99,341.1,86.2,427.3,2
100,5,20,9059,2290,0.01564815,0.05176586,9060,2294,100,394.1,99.9,493.9,2
101,1,10,11319,1254,0.02959933,0.06575694,11321,1255,101,476.9,53.1,529.8,5
102,2,10,11538,1310,0.02637592,0.05327589,11539,1310,102,506.8,58.1,564.1,5
103,3,10,11442,1256,0.02295181,0.05164206,11446,1257,103,504.4,55.4,559.6,5
104,4,10,12459,1383,0.01927537,0.04924931,12456,1384,104,512.4,58.1,562.2,5
105,5,10,12468,1388,0.0150836,0.04798255,12467,1388,105,526.1,58.8,572.4,5
106,1,0,11493,0,0.03193349,0,11495,0,106,508.8,0,508.8,5
107,2,0,14360,0,0.02804409,0,14364,0,107,614,0,614,5
108,3,0,16535,0,0.02303794,0,16537,0,108,732.5,0,732.5,5
109,4,0,20921,0,0.01809369,0,20924,0,109,909,0,909,5
110,5,0,26245,0,0.01373536,0,26247,0,110,1138.4,0,1138.4,5
|"Id","Write Quorum","Write %","received_gets","received_puts","get_avg_latency","put_avg_latency","replied_gets","replied_puts","size","Read Throughput","Write Throughput","Total Throughput","best_write_quorum"
1,1,100,0,10119,0,0.0704518,0,10126,1,0,441.8,441.8,1
2,2,100,0,7499,0,0.09324795,0,7504,2,0,322.1,322.1,1
3,3,100,0,5335,0,0.1348139,0,5345,3,0,228.2,228.2,1
4,4,100,0,4244,0,0.1507338,0,4245,4,0,196.9,196.9,1
5,5,100,0,3139,0,0.1684195,0,3147,5,0,148.1,148.1,1
6,1,95,551,10591,0.02289608,0.07515865,552,10599,6,24.1,455.9,479.9,1
7,2,95,341,6663,0.02356599,0.08892051,341,6668,7,14.4,282.4,296.9,1
8,3,95,326,6141,0.02938533,0.1097921,326,6147,8,14.2,264.1,278.1,1
9,4,95,215,4204,0.02561561,0.1330539,215,4213,9,10.4,196.9,207.2,1
10,5,95,220,4037,0.01951602,0.1479814,220,4037,10,10.7,177,186.8,1
11,1,90,892,8154,0.02580409,0.08201434,892,8160,11,39.6,360.7,400.3,1
12,2,90,767,6731,0.02987761,0.08822213,767,6737,12,25.9,227.9,253.8,1
13,3,90,589,5330,0.0306169,0.1191064,590,5338,13,26.5,234.9,260.8,1
14,4,90,459,4025,0.02914321,0.1333613,459,4023,14,20.3,173.4,193.3,1
15,5,90,343,3098,0.02179499,0.2208177,344,3100,15,16.2,141.8,157.5,1
16,1,85,1750,9888,0.02727387,0.08415598,1747,9896,16,77.3,436.4,513.4,1
17,2,85,1434,7823,0.02889309,0.09156398,1434,7825,17,61.3,335.1,396.5,1
18,3,85,910,5223,0.03509645,0.1137538,910,5229,18,39.9,223.2,262,1
19,4,85,775,4345,0.02907376,0.1273681,775,4349,19,35.4,196.4,231.6,1
20,5,85,580,3398,0.02257717,0.1458398,580,3407,20,26.2,150,175.7,1
21,1,80,2023,8216,0.02801038,0.07750188,2023,8220,21,88.9,360.6,449.6,1
22,2,80,1601,6228,0.03561842,0.09512448,1598,6232,22,70.10001,272.6,342.6,1
23,3,80,1285,5160,0.03716042,0.09929145,1285,5169,23,56.8,229.4,286.2,1
24,4,80,922,3689,0.03258721,0.1166146,922,3695,24,42.8,171.5,214.4,1
25,5,80,869,3545,0.02348859,0.1504234,870,3553,25,38.4,153.5,191.1,1
26,1,75,2954,8985,0.02921087,0.08016618,2954,8989,26,131.9,400,531.9,1
27,2,75,2446,7307,0.0365558,0.09416696,2451,7311,27,105.1,313.6,418.6,1
28,3,75,1919,5654,0.03551941,0.1047598,1919,5661,28,82.9,244.7,327.6,1
29,4,75,1314,4010,0.03312103,0.1266918,1314,4013,29,60.8,185.3,246.1,1
30,5,75,1105,3356,0.0254774,0.1359081,1105,3362,30,52.7,158.7,211.4,1
31,1,70,3511,8202,0.03057612,0.08157416,3510,8206,31,151.7,358,506.1,1
32,2,70,2675,6247,0.0373135,0.09210066,2676,6254,32,119.9,279.9,399.7,1
33,3,70,2191,5055,0.03715278,0.1103425,2191,5059,33,96.99999,224.3,321.1,1
34,4,70,1701,3911,0.03438977,0.1375089,1700,3910,34,76.7,175.8,251.8,1
35,5,70,1364,3164,0.02946473,0.2037092,1365,3169,35,61.6,142.6,204,1
36,1,65,4290,8000,0.03341914,0.08336811,4293,8005,36,185.9,346.4,532.4,1
37,2,65,3727,7033,0.03719701,0.08847524,3728,7036,37,166.3,314.3,480.5,1
38,3,65,3190,5863,0.03580899,0.1046253,3189,5866,38,144.4,264.6,408.5,1
39,4,65,2179,4020,0.0342491,0.1239425,2181,4027,39,98.4,180.9,279.2,1
40,5,65,2132,3919,0.02705903,0.1360994,2134,3919,40,94.50001,174.1,268.4,1
41,1,60,4898,7298,0.03405531,0.0832973,4899,7303,41,213,317,529.8,1
42,2,60,3652,5487,0.03942692,0.09595153,3651,5491,42,163.4,245.6,409,1
43,3,60,2881,4320,0.04288524,0.112808,2882,4328,43,125.2,188.2,313.3,1
44,4,60,2617,3946,0.0342926,0.1182789,2618,3946,44,119.8,180.3,299.6,1
45,5,60,2426,3688,0.02631779,0.1409134,2426,3689,45,107.6,160.3,266.4,1
46,1,55,5924,7255,0.03775772,0.08521256,5927,7260,46,253.6,311.2,564.6,1
47,2,55,5002,6087,0.03921111,0.08886402,5003,6091,47,214.9,261.8,476.6,1
48,3,55,3852,4779,0.03959275,0.1069613,3852,4786,48,167.3,207.3,374.5,1
49,4,55,4283,5279,0.03542335,0.118812,4282,5279,49,185.1,227.3,411.4,1
50,5,55,2441,2975,0.02877888,0.1217596,2441,2977,50,108.7,130.2,237,1
51,1,50,5981,5998,0.04024354,0.08669378,5983,6000,51,256.8,257.4,514.2,1
52,2,50,5505,5568,0.04161287,0.09247744,5508,5574,52,241.4,244.6,485.8,1
53,3,50,4443,4446,0.03889538,0.09314722,4445,4450,53,204.1,203.9,408.1,1
54,4,50,4239,4239,0.03504712,0.1154292,4240,4242,54,191.6,191.2,382.6,1
55,5,50,3392,3320,0.02897335,0.1224906,3392,3319,55,152.1,147.8,299.1,1
56,1,45,6448,5246,0.04219412,0.08515675,6450,5247,56,289.6,235.9,525.3,1
57,2,45,6338,5168,0.042268,0.09196179,6340,5170,57,269.9,220.2,490.2,1
58,3,45,5308,4376,0.03909491,0.0917579,5308,4379,58,232.9,191.6,424.5,1
59,4,45,5498,4517,0.03510739,0.09983891,5499,4520,59,245.2,201.1,446.2,1
60,5,45,4847,3940,0.02989105,0.1142662,4849,3945,60,211.8,172.6,384.4,1
61,1,40,7228,4807,0.04312814,0.08868326,7229,4811,61,322.6,214.7,537.4,1
62,2,40,6427,4273,0.04238176,0.08607205,6428,4276,62,285,189.7,474.6,1
63,3,40,5980,4086,0.04218145,0.08805969,5983,4090,63,257.2,173.9,429.6,1
64,4,40,5211,3507,0.03746179,0.09997205,5214,3511,64,228.1,153.6,381.7,1
65,5,40,5757,3801,0.03015574,0.09946714,5756,3801,65,249,164.2,412.2,1
66,1,35,7966,4288,0.04579771,0.08549827,7968,4291,66,354.4,191.3,545.5,1
67,2,35,6404,3467,0.04417003,0.08462532,6401,3470,67,273.2,147.7,420.8,1
68,3,35,6821,3684,0.0403555,0.07998065,6824,3687,68,304,164.1,468,1
69,4,35,6017,3239,0.03651806,0.09021635,6015,3238,69,271.3,146.2,417.4,1
70,5,35,6077,3263,0.03178466,0.08975624,6079,3259,70,271.6,145.4,416.9,1
71,1,30,8365,3617,0.04855975,0.09187536,8368,3621,71,363,156.5,519.5,3
72,2,30,8387,3642,0.04453201,0.08390757,8390,3644,72,355.5,154.6,510.2,3
73,3,30,8371,3647,0.04063728,0.07902853,8372,3647,73,356.5,154.9,511.5,3
74,4,30,7773,3346,0.03724212,0.08325166,7777,3349,74,353,151.9,504.8,3
75,5,30,7976,3400,0.03001991,0.08986744,7978,3403,75,347.2,148.4,495.7,3
76,1,25,9344,3090,0.04854181,0.08665412,9349,3092,76,396.7,131.5,528,3
77,2,25,9781,3313,0.04422395,0.07482255,9786,3314,77,435.6,147.4,582.9,3
78,3,25,10003,3311,0.04122511,0.07259668,10005,3313,78,437.6,144.7,582.2,3
79,4,25,9906,3308,0.03648597,0.07670203,9908,3310,79,437,146.1,582.9,3
80,5,25,8831,2966,0.03041308,0.07984129,8835,2970,80,395.3,132.2,527.4,3
81,1,20,9794,2442,0.05051423,0.08784743,9796,2445,81,353.3,88.6,442,5
82,2,20,10598,2684,0.04667366,0.07623865,10603,2687,82,455.7,115.6,571.1,5
83,3,20,10022,2546,0.04157334,0.07639778,10026,2550,83,437.1,111.1,548.1,5
84,4,20,10177,2552,0.03744412,0.07992608,10181,2554,84,449.6,112.6,562.1,5
